,ACC_NS,ADANIGREEN_NS,ADANIPOWER_NS,ASHOKLEY_NS,AUROPHARMA_NS,AXISBANK_NS,BAJAJ-AUTO_NS,BANDHANBNK_NS,BHARTIARTL_NS,BIOCON_NS,BOSCHLTD_NS,BPCL_NS,BRITANNIA_NS,CIPLA_NS,COALINDIA_NS
ACC_NS,1.0,0.4865826457630729,0.08245938057151708,0.4768061187791915,-0.02715014898327805,0.4147438373573758,0.5385577394362383,0.27252767722054433,0.3206968891717534,0.16094464605091746,-7.453421077250604e-05,0.1033116046017664,0.11898457517693674,-0.29785171137588884,0.4381136832392499
ADANIGREEN_NS,0.4865826457630729,1.0,0.020261669123854787,0.5012540505550309,0.28126392371314923,0.4608361237458167,0.40558600055685434,0.4797793754568753,0.38126423149385463,0.3388243384049998,0.2560704487003212,0.4840355669303418,0.18357302181147603,0.02265423682707645,0.31524715748131044
ADANIPOWER_NS,0.08245938057151708,0.020261669123854787,1.0,0.12769862548153868,-0.4538357250452023,-0.22474142927357918,0.21270626683682592,0.05064647560604376,-0.10709391203813245,0.04240314066221133,0.1534075851399134,-0.029362837899921133,-0.1319190002364385,0.05709209740966419,0.001009130583370233
ASHOKLEY_NS,0.4768061187791915,0.5012540505550309,0.12769862548153868,1.0,0.1774194034080239,0.39009646111283075,0.6662943043006022,0.42950250862624556,0.2908416656435537,0.39519527920871433,0.3360550213937346,0.07011019483735477,0.18773352382592212,-0.09779713285237922,0.03597131651237804
AUROPHARMA_NS,-0.02715014898327805,0.28126392371314923,-0.4538357250452023,0.1774194034080239,1.0,0.2928055271036561,-0.01749597867827331,0.24421519623280313,0.4255725066265097,0.5104725226496304,0.15742633195986291,0.26365341022131966,-0.021312590894037493,0.3939570446382583,0.24948572604872388
AXISBANK_NS,0.4147438373573758,0.4608361237458167,-0.22474142927357918,0.39009646111283075,0.2928055271036561,1.0,0.22427729830469548,0.3836224625319764,0.515457551163928,0.3104457481432648,-0.07808187458515459,0.2219676331126282,0.009397541904235545,0.03561186428084963,0.35740477243371976
BAJAJ-AUTO_NS,0.5385577394362383,0.40558600055685434,0.21270626683682592,0.6662943043006022,-0.01749597867827331,0.22427729830469548,1.0,0.3885527289891059,0.19296348911036554,0.18847717034192643,0.42490270309267875,0.2367166596485696,0.24305814657626876,-0.25952946215322603,0.20133472145802034
BANDHANBNK_NS,0.27252767722054433,0.4797793754568753,0.05064647560604376,0.42950250862624556,0.24421519623280313,0.3836224625319764,0.3885527289891059,1.0,0.31472317999143573,0.3305582715980179,0.14608295444824762,0.43290891344718724,0.03889146726340175,0.1543712826422916,0.2714943343884659
BHARTIARTL_NS,0.3206968891717534,0.38126423149385463,-0.10709391203813245,0.2908416656435537,0.4255725066265097,0.515457551163928,0.19296348911036554,0.31472317999143573,1.0,0.4900689781315429,0.23752246620081627,0.07026053190123321,0.11495102719996549,0.07112144084154665,0.2710202322913926
BIOCON_NS,0.16094464605091746,0.3388243384049998,0.04240314066221133,0.39519527920871433,0.5104725226496304,0.3104457481432648,0.18847717034192643,0.3305582715980179,0.4900689781315429,1.0,0.4223011386996525,0.04195271667586566,0.22441063535567798,0.24637703038424766,0.10431592033785236
BOSCHLTD_NS,-7.453421077250604e-05,0.2560704487003212,0.1534075851399134,0.3360550213937346,0.15742633195986291,-0.07808187458515459,0.42490270309267875,0.14608295444824762,0.23752246620081627,0.4223011386996525,1.0,0.05690514474863232,0.49153443824962467,0.03025182507181135,-0.03589335703211077
BPCL_NS,0.1033116046017664,0.4840355669303418,-0.029362837899921133,0.07011019483735477,0.26365341022131966,0.2219676331126282,0.2367166596485696,0.43290891344718724,0.07026053190123321,0.04195271667586566,0.05690514474863232,1.0,-0.11077664256532321,0.030791641557762317,0.2238904563850422
BRITANNIA_NS,0.11898457517693674,0.18357302181147603,-0.1319190002364385,0.18773352382592212,-0.021312590894037493,0.009397541904235545,0.24305814657626876,0.03889146726340175,0.11495102719996549,0.22441063535567798,0.49153443824962467,-0.11077664256532321,1.0,-0.14258357522833362,-0.16712519973644718
CIPLA_NS,-0.29785171137588884,0.02265423682707645,0.05709209740966419,-0.09779713285237922,0.3939570446382583,0.03561186428084963,-0.25952946215322603,0.1543712826422916,0.07112144084154665,0.24637703038424766,0.03025182507181135,0.030791641557762317,-0.14258357522833362,1.0,0.04512334537926608
COALINDIA_NS,0.4381136832392499,0.31524715748131044,0.001009130583370233,0.03597131651237804,0.24948572604872388,0.35740477243371976,0.20133472145802034,0.2714943343884659,0.2710202322913926,0.10431592033785236,-0.03589335703211077,0.2238904563850422,-0.16712519973644718,0.04512334537926608,1.0
